run_id,game_id,person_index,decision,berlin_local,creative,techno_lover,well_connected
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,0,False,False,False,True,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,1,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,2,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,3,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,4,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,5,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,6,False,False,False,True,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,7,False,True,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,8,False,True,True,True,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,9,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,10,False,False,False,True,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,11,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,12,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,13,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,14,False,True,False,False,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,15,False,True,False,False,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,16,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,17,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,18,True,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,19,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,20,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,21,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,22,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,23,False,False,False,True,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,24,False,False,False,True,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,25,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,26,False,True,False,False,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,27,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,28,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,29,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,30,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,31,False,True,True,True,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,32,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,33,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,34,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,35,False,True,False,False,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,36,False,True,False,True,True
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,37,False,False,False,True,False
run_20250903_223007_24211,25006470-d04c-431a-a2d9-fe8a706c9c50,38,True,True,False,False,True
